"gene_id","gene_name","bmp4_rep1","bmp4_rep2","bmp4_rep3","bmp4_tgfb2_rep1","bmp4_tgfb2_rep2","bmp4_tgfb2_rep3","nontreated_rep1","nontreated_rep2","nontreated_rep3","tgfb2_rep1","tgfb2_rep2","tgfb2_rep3"
"ENSMUSG00000116158.1","Kiss1",0,0,0,0,0,0,3,0,0,0,0,0
"ENSMUSG00000116160.1","Gm41392",0,0,0,0,0,0,0,0,0,1,0,7
"ENSMUSG00000116162.1","Gm36329",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116164.1","1110013H19Rik",6,3,6,11,4,1,4,0,3,10,9,10
"ENSMUSG00000116165.1","Pdxp",78,76,64,98,38.702,96,64.697,50,61.016,146.65,22.818,115.027
"ENSMUSG00000116166.1","Gm49403",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116167.1","4930504C09Rik",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116168.1","Gm49430",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116170.1","Gm6332",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116171.1","4930543I03Rik",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116173.1","Gm32126",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116174.1","Gm10362",1.269,5.114,5.488,2.48,7.353,9.855,11.388,15.299,9.008,13.713,4.672,3.055
"ENSMUSG00000116178.1","Gm49529",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116179.1","Olfr290",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116180.1","Gm49492",18,5,4,18,10,15,11,3,2,8,12,5
"ENSMUSG00000116182.1","Gm33666",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116183.1","Gm49480",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116184.1","4632433K11Rik",0,0,0,0,4.858,0,0,0,0,0,0,0
"ENSMUSG00000116185.1","Gm49411",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116187.1","Gm49456",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116188.2","Gm49424",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116190.1","Gm41386",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116191.1","Gm19199",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116192.1","Gm18869",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116194.1","Gm49434",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116197.1","Gm38619",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116199.1","Gm49438",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116202.1","Rpl10a-ps3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116204.1","Gm36480",0,0,0,1,0,3,0,0,0,0,0,0
"ENSMUSG00000116207.1","Nnt",529.434,707.726,479.103,272.478,0,515.536,401.221,892.479,758.188,437.534,830.906,306.107
"ENSMUSG00000116210.1","Spn-ps",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116212.1","Gm18979",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116213.1","Gm5404",3.001,3,3.001,1,1,2,3,1,3,3,8.002,5
"ENSMUSG00000116215.1","Gm5470",1.01,0,0,0,1.02,1.012,1.033,0,1.016,0,0,2.054
"ENSMUSG00000116217.1","Gm46495",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116219.1","Gm28023",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116220.1","A430088P11Rik",0,0,0,2.095,0,4,0,0,0,0,0,0
"ENSMUSG00000116222.1","Gm34593",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116223.1","Gm41396",0,0,8,0,0,3,3,1,1,0,3,1
"ENSMUSG00000116226.1","Gm49502",0,0,0,0,0,0,0,4,0,1,2,10
"ENSMUSG00000116227.1","Gm49513",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116229.1","Gm49470",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116231.1","Gm36330",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116234.1","Gm49550",1,4,4.002,7.003,1.488,2.002,2,1,1,3,8.021,0
"ENSMUSG00000116237.1","Gm30339",0,0,0,6,0,1,0,0,0,0,4,0
"ENSMUSG00000116238.1","Gm49413",1,0,0,0,0,0,2,3,0,0,0,0
"ENSMUSG00000116239.1","Gm49520",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116241.1","Gm49458",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116242.1","Gm18815",0,0,0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000116243.1","Gm49552",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116244.1","Gm49461",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116245.1","Gm49452",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116246.1","Gm4106",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116247.1","Vmn1r-ps137",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116249.1","Gm49484",15,6,0,0,2,3,2,1,0,2,2,0
"ENSMUSG00000116250.1","Gm34939",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116253.1","Gm41392",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116255.1","Gm20564",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116256.1","Gm32405",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116260.1","1700041B01Rik",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116262.1","Gm49544",27.381,32.398,19.215,31.339,14.14,21.147,13.15,25.23,8.081,29.359,23.238,6.054
"ENSMUSG00000116263.1","Gm49473",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116265.1","Cyp2d32-ps",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116270.1","Gm1600",6,15,0,4,1,1,5,11,7,1,1,0
"ENSMUSG00000116272.1","Gm49540",0,1.66,1.87,0,1.698,0,0,0,0,0,0,15.225
"ENSMUSG00000116274.1","Gm18724",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116275.1","Zc3h11a",2236.93,1657.951,1881.389,1433.503,2373.989,1922.673,1794.749,2328.83,1401.254,2396.327,1882.064,1707.148
"ENSMUSG00000116280.1","Gm49435",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116283.1","Gm49412",0,0,0,0,0,0,4,0,0,0,0,1
"ENSMUSG00000116284.1","Gm3787",0,0,0,0,1,0,0,0,0,0,0,2
"ENSMUSG00000116287.1","Gm3924",0,0,0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000116288.1","Gm41349",2,0,0,0,0,0,2,2,0,0,0,0
"ENSMUSG00000116289.1","Gm31342",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116290.1","Gm49518",0,0,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000116291.1","Gm4383",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116292.1","Gm49551",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116294.1","Gm49415",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116295.1","Gm32885",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116296.1","Gm49468",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116297.1","Gm49546",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116298.1","4833412C15Rik",5,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116299.1","Gm29904",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116300.1","Gm49509",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116301.1","Gm49547",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116303.1","Gm49465",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116304.1","Gm49488",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116305.1","Lncppara",14,15,6,33,37,15,12,17,18,31,15,8
"ENSMUSG00000116307.1","Gm49490",0,1,0,0,0,3,0,0,0,0,0,0
"ENSMUSG00000116308.1","Gm49482",7.485,0,0,4.666,24.344,0,0,0,2.786,0,0,7.653
"ENSMUSG00000116309.1","Gm49418",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116311.1","4930478M13Rik",24,12,24,10,11,2,0,13,13,7,5,31
"ENSMUSG00000116314.1","Gm49459",0,0,0,2.002,0,0,0,0,0,0,0,0
"ENSMUSG00000116317.1","Gm49536",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116319.1","Gm49429",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116321.1","Gm49522",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116323.1","Gm18092",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116324.1","Gm33696",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116325.1","Gm46501",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116331.1","B230214G05Rik",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116335.1","Gm49516",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116336.1","Gm49425",0,1,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000116338.1","7530414M10Rik",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116339.1","Gm35933",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116341.1","Cyp2d36-ps",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116343.1","Gm6847",0,0,3,0,3.002,0,0,0,3.001,0,0,0
"ENSMUSG00000116345.1","Gm19141",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116347.1","Gm49416",2.408,7.88,8.286,28.584,0,13.234,3.543,5.526,0,0,0,33.301
"ENSMUSG00000116348.1","Gm18722",1,1,3,0,0,1,0,7,3,10,0,0
"ENSMUSG00000116350.1","Gm35772",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116352.1","Gm49447",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116353.1","Gm49469",0,0,0,0,0,0,0,0,0,0,0,0
